id_cliente,nombre,ciudad,edad,fecha_registro,monto_compra,categoria
1,Carla Díaz,Santiago,50.0,2023-10-03,42.33049431981426,Ropa
2,Juan Torres,Lima,64.0,2023-04-10,198.20435841441787,Hogar
3,Andres Silva,Lima,57.0,2023-10-03,195.9158303001157,Ropa
4,Sofía Ramírez,Bogotá,60.0,,95.1862456552399,Electrónica
5,Carla Díaz,Santiago,29.0,2023-02-15,88.61960924315038,Electrónica
6,Diego Morales,Bogotá,61.0,2023-01-15,133.75843082456888,Electrónica
7,María López,Lima,53.0,2023-04-10,199.0882743495797,Hogar
8,Carla Díaz,Lima,65.0,2023-04-10,67.73006265215541,Electrónica
9,Andres Silva,Bogotá,21.0,2023-10-03,141.34640878580652,Electrónica
10,Sofía Ramírez,Santiago,22.0,2023-04-10,135.1218248320004,Hogar
11,Juan Torres,Lima,54.0,,201.128521600482,Electrónica
12,Andres Silva,Santiago,25.0,,145.0830186602625,Electrónica
13,Andres Silva,CDMX,59.0,2023-10-03,156.2788226735771,Electrónica
14,María López,Bogotá,66.0,,155.21005519759382,Hogar
15,Pedro Gómez,Lima,45.0,2023-02-15,95.1862456552399,Ropa
16,Sofía Ramírez,Santiago,48.0,2023-10-03,201.128521600482,Electrónica
17,Luis Pérez,Bogotá,26.0,2023-02-15,135.1218248320004,Electrónica
18,Andres Silva,Bogotá,45.0,2023-01-15,195.9158303001157,Electrónica
19,Pedro Gómez,Lima,68.0,2023-02-15,135.9662461566613,Hogar
20,Luis Pérez,Santiago,46.0,2023-01-15,135.9662461566613,Ropa
21,Sofía Ramírez,Bogotá,31.0,2023-01-15,192.67077793901535,Hogar
22,Ana García,Bogotá,57.0,2023-02-15,83.84551032962509,Ropa
23,Diego Morales,Bogotá,58.0,2023-10-03,88.61960924315038,Ropa
24,Pedro Gómez,Bogotá,39.0,,135.1218248320004,Ropa
25,Valentina Cruz,CDMX,28.0,,137.79216823546756,Electrónica
26,Ana García,Santiago,40.0,2023-01-15,145.0830186602625,Hogar
27,Diego Morales,CDMX,18.0,2023-01-15,100.57044464245412,Electrónica
28,María López,Bogotá,63.0,2023-10-03,135.9662461566613,Ropa
29,Carla Díaz,Santiago,54.0,2023-04-10,158.99470755767393,Electrónica
30,Juan Torres,Santiago,38.0,2023-02-15,95.1862456552399,Electrónica
31,Valentina Cruz,CDMX,43.0,2023-01-15,200.4908544671317,Hogar
32,María López,Santiago,63.0,,232.10075800681847,Hogar
33,Sofía Ramírez,Bogotá,53.0,2023-10-03,200.4908544671317,Hogar
34,María López,Lima,45.0,2023-02-15,264.5471286295371,Electrónica
35,Carla Díaz,CDMX,40.0,2023-10-03,142.49722064837366,Ropa
36,Sofía Ramírez,Lima,18.0,2023-02-15,133.75843082456888,Electrónica
37,Valentina Cruz,Santiago,45.0,2023-02-15,142.49722064837366,Hogar
38,Carla Díaz,Santiago,45.0,2023-01-15,229.72525316124865,Electrónica
39,Luis Pérez,Santiago,68.0,2023-10-03,156.2788226735771,Ropa
40,Juan Torres,Lima,57.0,2023-10-03,262.62179026721543,Ropa
41,Valentina Cruz,Bogotá,32.0,,135.9662461566613,Hogar
42,Luis Pérez,CDMX,38.0,,218.78534066558095,Ropa
43,Diego Morales,CDMX,64.0,2023-01-15,262.62179026721543,Hogar
44,Valentina Cruz,Santiago,26.0,2023-01-15,107.6519325840836,Hogar
45,Diego Morales,Santiago,45.0,2023-04-10,195.9158303001157,Hogar
46,Sofía Ramírez,Lima,26.0,,133.75843082456888,Hogar
47,Luis Pérez,Santiago,27.0,2023-02-15,25.02971425632134,Hogar
48,Juan Torres,Lima,69.0,2023-10-03,187.94642948933824,Ropa
49,Carla Díaz,Bogotá,45.0,2023-01-15,88.61960924315038,Electrónica
50,Andres Silva,Bogotá,43.0,2023-10-03,71.47496981884115,Hogar
51,María López,Bogotá,58.0,2023-10-03,262.62179026721543,Hogar
52,Ana García,Lima,52.0,2023-04-10,118.05191261552488,Electrónica
53,Juan Torres,CDMX,69.0,,192.67077793901535,Electrónica
54,Luis Pérez,Lima,42.0,2023-01-15,155.21005519759382,Hogar
55,Andres Silva,Bogotá,43.0,2023-10-03,156.2788226735771,Ropa
56,Juan Torres,Bogotá,28.0,2023-01-15,199.0882743495797,Ropa
57,Luis Pérez,Lima,55.0,2023-02-15,42.33049431981426,Ropa
